Reads File,Tn File,Plasmid File,Genome File,Sample Code,Sample Desc
PBG-2859.TD01913_SLMS_67_BC49_p5_8M_30hCCS_0817_.CCS2.0000005011.fasta.gz,vch_wt_tn.fasta,vch_wt_plasmid.fasta,bw25113_wt_pb_genome.fasta,SLMS_67,Vch A-Bfus T13 BW
PBG-2859.TD01913_SLMS_68_BC50_p5_8M_30hCCS_0817_.CCS2.0000005010.fasta.gz,vch_wt_tn.fasta,vch_wt_plasmid.fasta,bw25113_wt_pb_genome.fasta,SLMS_68,Vch A-Bfus T17 BW
PBG-2859.TD01913_SLMS_69_BC52_p5_8M_30hCCS_0817_.CCS2.0000005009.fasta.gz,vch_wt_tn.fasta,vch_wt_plasmid.fasta,bw25113_wt_pb_genome.fasta,SLMS_69,Vch A-Bfus TnsAmut T13 BW
PBG-2859.TD01913_SLMS_70_BC53_p5_8M_30hCCS_0817_.CCS2.0000005008.fasta.gz,vch_wt_tn.fasta,vch_wt_plasmid.fasta,bw25113_wt_pb_genome.fasta,SLMS_70,Vch A-Bfus TnsAmut T17 BW
PBG-2859.TD01913_SLMS_71_BC54_p5_8M_30hCCS_0817_.CCS2.0000005007.fasta.gz,awo_wt_tn.fasta,awo_wt_plasmid.fasta,bw25113_wt_pb_genome.fasta,SLMS_71,Awo T13 BW
PBG-2859.TD01913_SLMS_72_BC55_p5_8M_30hCCS_0817_.CCS2.0000005006.fasta.gz,awo_wt_tn.fasta,awo_wt_plasmid.fasta,bw25113_wt_pb_genome.fasta,SLMS_72,Awo T17 BW
PBG-2859.TD01913_SLMS_73_BC56_p5_8M_30hCCS_0817_.CCS2.0000005005.fasta.gz,awo_wt_tn.fasta,awo_wt_plasmid.fasta,bw25113_wt_pb_genome.fasta,SLMS_73,Awo TnsAmut T13 BW
PBG-2859.TD01913_SLMS_74_BC57_p5_8M_30hCCS_0817_.CCS2.0000005004.fasta.gz,awo_wt_tn.fasta,awo_wt_plasmid.fasta,bw25113_wt_pb_genome.fasta,SLMS_74,Awo TnsAmut T17 BW
PBG-2859.TD01913_SLMS_75_BC58_p5_8M_30hCCS_0817_.CCS2.0000005003.fasta.gz,vch_wt_tn.fasta,vch_wt_plasmid.fasta,bw25113_reca_pb_genome.fasta,SLMS_75,Vch A-Bfus T13 recA
PBG-2859.TD01913_SLMS_76_BC59_p5_8M_30hCCS_0817_.CCS2.0000005002.fasta.gz,vch_wt_tn.fasta,vch_wt_plasmid.fasta,bw25113_reca_pb_genome.fasta,SLMS_76,Vch A-Bfus T17 recA
PBG-2859.TD01913_SLMS_77_BC60_p5_8M_30hCCS_0817_.CCS2.0000005001.fasta.gz,vch_wt_tn.fasta,vch_wt_plasmid.fasta,bw25113_reca_pb_genome.fasta,SLMS_77,Vch A-Bfus TnsAmut T13 recA
PBG-2859.TD01913_SLMS_78_BC61_p5_8M_30hCCS_0817_.CCS2.0000005000.fasta.gz,vch_wt_tn.fasta,vch_wt_plasmid.fasta,bw25113_reca_pb_genome.fasta,SLMS_78,Vch A-Bfus TnsAmut T17 recA
PBG-2859.TD01913_SLMS_79_BC62_p5_8M_30hCCS_0817_.CCS2.0000004999.fasta.gz,awo_wt_tn.fasta,awo_wt_plasmid.fasta,bw25113_reca_pb_genome.fasta,SLMS_79,Awo T13 recA
PBG-2859.TD01913_SLMS_80_BC63_p5_8M_30hCCS_0817_.CCS2.0000004998.fasta.gz,awo_wt_tn.fasta,awo_wt_plasmid.fasta,bw25113_reca_pb_genome.fasta,SLMS_80,Awo T17 recA
PBG-2859.TD01913_SLMS_81_BC64_p5_8M_30hCCS_0817_.CCS2.0000004997.fasta.gz,awo_wt_tn.fasta,awo_wt_plasmid.fasta,bw25113_reca_pb_genome.fasta,SLMS_81,Awo TnsAmut T13 recA
PBG-2859.TD01913_SLMS_82_BC65_p5_8M_30hCCS_0817_.CCS2.0000004996.fasta.gz,awo_wt_tn.fasta,awo_wt_plasmid.fasta,bw25113_reca_pb_genome.fasta,SLMS_82,Awo TnsAmut T17 recA
PBG-2859.TD01913_SLMS_83_BC66_p5_8M_30hCCS_0817_.CCS2.0000004995.fasta.gz,shcast_loxp_tn.fasta,shcast_loxp_plasmid.fasta,bw25113_reca_pb_genome.fasta,SLMS_83,ShCAST Cre recA 0mM ara
PBG-2859.TD01913_SLMS_84_BC67_p5_8M_30hCCS_0817_.CCS2.0000004994.fasta.gz,shcast_loxp_tn.fasta,shcast_loxp_plasmid.fasta,bw25113_reca_pb_genome.fasta,SLMS_84,ShCAST Cre recA 0.0066mM ara
PBG-2859.TD01913_SLMS_85_BC68_p5_8M_30hCCS_0817_.CCS2.0000004993.fasta.gz,shcast_loxp_tn.fasta,shcast_loxp_plasmid.fasta,bw25113_reca_pb_genome.fasta,SLMS_85,ShCAST Cre recA 0.022mM ara
PBG-2859.TD01913_SLMS_86_BC69_p5_8M_30hCCS_0817_.CCS2.0000004992.fasta.gz,shcast_loxp_tn.fasta,shcast_loxp_plasmid.fasta,bw25113_reca_pb_genome.fasta,SLMS_86,ShCAST Cre recA 0.066mM ara
PBG-2859.TD01913_SLMS_87_BC70_p5_8M_30hCCS_0817_.CCS2.0000004991.fasta.gz,shcast_tnir_tn.fasta,shcast_tnir_plasmid.fasta,bw25113_reca_pb_genome.fasta,SLMS_87,ShCAST TniR recA 0mM ara
PBG-2859.TD01913_SLMS_88_BC71_p5_8M_30hCCS_0817_.CCS2.0000004990.fasta.gz,shcast_tnir_tn.fasta,shcast_tnir_plasmid.fasta,bw25113_reca_pb_genome.fasta,SLMS_88,ShCAST TniR recA 0.022mM ara
