read_id,type,hsps,ends,types,read_length,genome_location,is_multi_coint
m54312U_200807_012324/88935078/ccs,GENOME,167-942,"['4/88935078/ccs___0l', '4/88935078/ccs___0r']","['gn', 'gn']",13046,3557731,False
m54312U_200807_012324/3802312/ccs,GENOME,10041-10816,"['24/3802312/ccs___0l', '24/3802312/ccs___0r']","['gn', 'gn']",12071,3557731,False
m54312U_200807_012324/70123530/ccs,GENOME,1242-2017,"['4/70123530/ccs___0l', '4/70123530/ccs___0r']","['gn', 'gn']",7367,3557733,False
m54312U_200807_012324/165806956/ccs,GENOME,397-1172,"['/165806956/ccs___0l', '/165806956/ccs___0r']","['gn', 'gn']",14090,3557737,False
m54312U_200807_012324/55314056/ccs,partialRead,10-785,['4/55314056/ccs___0r'],['gn'],17788,3557733,False
m54312U_200807_012324/15992229/ccs,partialRead,8-783,['4/15992229/ccs___0r'],['gn'],6968,3557733,False
m54312U_200807_012324/23857253/ccs,GENOME,4065-4840,"['4/23857253/ccs___0l', '4/23857253/ccs___0r']","['gn', 'gn']",12097,3557733,False
m54312U_200807_012324/88474574/ccs,partialRead,17285-18060,['4/88474574/ccs___0l'],['gn'],18067,3557733,False
m54312U_200807_012324/114558108/ccs,partialRead,7-782,['/114558108/ccs___0r'],['gn'],15068,3557733,False
m54312U_200807_012324/73271045/ccs,GENOME,59-834,"['4/73271045/ccs___0l', '4/73271045/ccs___0r']","['gn', 'gn']",12449,3557733,False
m54312U_200807_012324/165284075/ccs,partialRead,16679-17454,['/165284075/ccs___0l'],['gn'],17463,3557733,False
m54312U_200807_012324/117769846/ccs,GENOME,1722-2497,"['/117769846/ccs___0l', '/117769846/ccs___0r']","['gn', 'gn']",11986,3557733,False
m54312U_200807_012324/39322498/ccs,partialRead,8073-8848,['4/39322498/ccs___0l'],['gn'],8857,3557733,False
m54312U_200807_012324/39193331/ccs,GENOME,8891-9666,"['4/39193331/ccs___0l', '4/39193331/ccs___0r']","['gn', 'gn']",12894,3557733,False
m54312U_200807_012324/172359842/ccs,GENOME,4520-5295,"['/172359842/ccs___0l', '/172359842/ccs___0r']","['gn', 'gn']",12557,3557733,False
m54312U_200807_012324/11076662/ccs,partialRead,8599-9374,['4/11076662/ccs___0l'],['gn'],9380,3557733,False
m54312U_200807_012324/110493785/ccs,partialRead,7765-8540,['/110493785/ccs___0l'],['gn'],8550,3557733,False
m54312U_200807_012324/30933607/ccs,COINTEGRATE,1986-2761,"['4/30933607/ccs___0l', '4/30933607/ccs___0r']","['pl', 'gn']",9515,3557733,False
m54312U_200807_012324/153880937/ccs,GENOME,1305-2080,"['/153880937/ccs___0l', '/153880937/ccs___0r']","['gn', 'gn']",12747,3557733,False
m54312U_200807_012324/2361034/ccs,GENOME,5289-6064,"['24/2361034/ccs___0l', '24/2361034/ccs___0r']","['gn', 'gn']",11373,3557733,False
m54312U_200807_012324/68552945/ccs,partialRead,14247-15022,['4/68552945/ccs___0l'],['gn'],15026,3557733,False
m54312U_200807_012324/50005404/ccs,partialRead,8-783,['4/50005404/ccs___0r'],['gn'],13557,3557733,False
m54312U_200807_012324/13763592/ccs,partialRead,8960-9735,['4/13763592/ccs___0l'],['gn'],9744,3557733,False
m54312U_200807_012324/86507804/ccs,GENOME,3232-4007,"['4/86507804/ccs___0l', '4/86507804/ccs___0r']","['gn', 'gn']",11897,3557733,False
m54312U_200807_012324/152701776/ccs,partialRead,9327-10102,['/152701776/ccs___0l'],['gn'],10109,3557733,False
m54312U_200807_012324/86049971/ccs,partialRead,12840-13615,['4/86049971/ccs___0l'],['gn'],13624,3557733,False
m54312U_200807_012324/166527303/ccs,partialRead,8787-9562,['/166527303/ccs___0l'],['gn'],9571,3557733,False
m54312U_200807_012324/100993868/ccs,GENOME,9938-10713,"['/100993868/ccs___0l', '/100993868/ccs___0r']","['gn', 'gn']",12739,3557733,False
m54312U_200807_012324/129892817/ccs,partialRead,10-785,['/129892817/ccs___0r'],['gn'],10846,3557733,False
m54312U_200807_012324/177341903/ccs,partialRead,3-778,['/177341903/ccs___0r'],['gn'],12065,3557733,False
m54312U_200807_012324/28311653/ccs,GENOME,7589-8364,"['4/28311653/ccs___0l', '4/28311653/ccs___0r']","['gn', 'gn']",9105,3557733,False
m54312U_200807_012324/28246550/ccs,partialRead,11823-12598,['4/28246550/ccs___0l'],['gn'],12602,3557733,False
m54312U_200807_012324/73139382/ccs,GENOME,1523-2299,"['4/73139382/ccs___0l', '4/73139382/ccs___0r']","['gn', 'gn']",7250,3557733,False
m54312U_200807_012324/179308663/ccs,partialRead,11985-12761,['/179308663/ccs___0l'],['gn'],12765,3557733,False
m54312U_200807_012324/2558542/ccs,GENOME,5363-6139,"['24/2558542/ccs___0l', '24/2558542/ccs___0r']","['gn', 'gn']",7338,3557733,False
m54312U_200807_012324/22742775/ccs,partialRead,22898-23674,['4/22742775/ccs___0l'],['gn'],23678,3557733,False
m54312U_200807_012324/42403784/ccs,partialRead,5-781,['4/42403784/ccs___0r'],['gn'],16337,3557733,False
m54312U_200807_012324/152765705/ccs,GENOME,11101-11877,"['/152765705/ccs___0l', '/152765705/ccs___0r']","['gn', 'gn']",18180,3557733,False
m54312U_200807_012324/52823564/ccs,partialRead,1-777,['4/52823564/ccs___0r'],['gn'],19338,3557733,False
m54312U_200807_012324/41091605/ccs,GENOME,6694-7470,"['4/41091605/ccs___0l', '4/41091605/ccs___0r']","['gn', 'gn']",14227,3557733,False
m54312U_200807_012324/174065901/ccs,partialRead,7700-8476,['/174065901/ccs___0l'],['gn'],8480,3557733,False
m54312U_200807_012324/47646007/ccs,partialRead,4-778,['4/47646007/ccs___0r'],['gn'],23211,3557733,False
m54312U_200807_012324/131531050/ccs,partialRead,16428-17202,['/131531050/ccs___0l'],['gn'],17206,3557733,False
m54312U_200807_012324/74975086/ccs,partialRead,10-784,['4/74975086/ccs___0r'],['gn'],16398,3557733,False
m54312U_200807_012324/37094319/ccs,GENOME,8478-9252,"['4/37094319/ccs___0l', '4/37094319/ccs___0r']","['gn', 'gn']",9679,3557733,False
m54312U_200807_012324/122684009/ccs,partialRead,9-783,['/122684009/ccs___0r'],['gn'],13320,3557733,False
m54312U_200807_012324/159451126/ccs,GENOME,1800-2574,"['/159451126/ccs___0l', '/159451126/ccs___0r']","['gn', 'gn']",9663,3557733,False
m54312U_200807_012324/23987883/ccs,partialRead,10342-11119,['4/23987883/ccs___0l'],['gn'],11122,3557733,False
m54312U_200807_012324/124323789/ccs,partialRead,9-786,['/124323789/ccs___0r'],['gn'],11790,3557733,False
m54312U_200807_012324/153355931/ccs,partialRead,11137-11914,['/153355931/ccs___0l'],['gn'],11919,3557733,False
m54312U_200807_012324/127468403/ccs,partialRead,16031-16808,['/127468403/ccs___0l'],['gn'],16813,3557733,False
m54312U_200807_012324/143002368/ccs,GENOME,5032-5807,"['/143002368/ccs___0l', '/143002368/ccs___0r']","['gn', 'gn']",10641,3557731,False
m54312U_200807_012324/64883141/ccs,partialRead,4-779,['4/64883141/ccs___0r'],['gn'],16606,3557733,False
m54312U_200807_012324/178717714/ccs,GENOME,4673-5448,"['/178717714/ccs___0l', '/178717714/ccs___0r']","['gn', 'gn']",13043,3557733,False
m54312U_200807_012324/33163969/ccs,GENOME,2142-2917,"['4/33163969/ccs___0l', '4/33163969/ccs___0r']","['gn', 'gn']",7462,3557733,False
m54312U_200807_012324/71828497/ccs,GENOME,9166-9939,"['4/71828497/ccs___0l', '4/71828497/ccs___0r']","['gn', 'gn']",26261,3557733,False
m54312U_200807_012324/140970162/ccs,partialRead,10-788,['/140970162/ccs___0r'],['gn'],25020,3557733,False
m54312U_200807_012324/52955654/ccs,partialRead,9-785,['4/52955654/ccs___0r'],['gn'],21337,3557733,False
m54312U_200807_012324/44238638/ccs,GENOME,12336-13112,"['4/44238638/ccs___0l', '4/44238638/ccs___0r']","['gn', 'gn']",15998,3557733,False
m54312U_200807_012324/105515717/ccs,GENOME,7343-8120,"['/105515717/ccs___0l', '/105515717/ccs___0r']","['gn', 'gn']",8207,3557733,False
m54312U_200807_012324/162727079/ccs,partialRead,6-783,['/162727079/ccs___0r'],['gn'],13185,3557733,False
m54312U_200807_012324/107348050/ccs,partialRead,18626-19401,['/107348050/ccs___0l'],['gn'],19410,3557733,False
m54312U_200807_012324/109773015/ccs,GENOME,9315-10089,"['/109773015/ccs___0l', '/109773015/ccs___0r']","['gn', 'gn']",25241,3557733,False
m54312U_200807_012324/150078103/ccs,partialRead,0-778,['/150078103/ccs___0r'],['gn'],11175,3557733,False
m54312U_200807_012324/73139580/ccs,partialRead,16429-17208,['4/73139580/ccs___0l'],['gn'],17211,3557733,False
m54312U_200807_012324/120914578/ccs,partialRead,8-782,['/120914578/ccs___0r'],['gn'],10648,3557733,False
m54312U_200807_012324/144377851/ccs,GENOME,22298-23077,"['/144377851/ccs___0l', '/144377851/ccs___0r']","['gn', 'gn']",35490,3557731,False
m54312U_200807_012324/173671840/ccs,partialRead,11230-12006,['/173671840/ccs___0l'],['gn'],12015,3557731,False
m54312U_200807_012324/115279030/ccs,partialRead,4-776,['/115279030/ccs___0r'],['gn'],11443,3557733,False
m54312U_200807_012324/65668111/ccs,partialRead,4-779,['4/65668111/ccs___0r'],['gn'],7971,3557733,False
m54312U_200807_012324/2359842/ccs,partialRead,10757-11541,['24/2359842/ccs___0l'],['gn'],11548,3557734,False
